         Name: <Bhageria, Yadu>
          CID: <00733164>
   LIBRARY NO: <0246618471>
Email Address: <yrb13@ic.ac.uk>
  Course Code: <M3SC>
 T,     P,        V_ideal, V that satify the Van Der Waals cubic equation
40,     1,   3.2823120000,   3.2337280579
40,   1.5,   2.1882080000,   2.1392967362
40,     2,   1.6411560000,   1.5919080081
40,   2.5,   1.3129248000,   1.2633301481
40,     3,   1.0941040000,   1.0441521854
40,   3.5,   0.9378034286,   0.8874833269
40,     4,   0.8205780000,   0.7698778082
40,   4.5,   0.7294026667,   0.6783098391
40,     5,   0.6564624000,   0.6049635753
40,   5.5,   0.5967840000,   0.5448649190
40,     6,   0.5470520000,   0.4946974112
40,   6.5,   0.5049710769,   0.4521646285
40,     7,   0.4689017143,   0.4156258296
40,   7.5,   0.4376416000,   0.3838773335
40,     8,   0.4102890000,   0.3560158687
40,   8.5,   0.3861543529,   0.3313501394
40,     9,   0.3647013333,   0.3093418523,   0.0375155798,   0.0349339012
40,   9.5,   0.3455065263,   0.2895653471,   0.0391618766,   0.0338693026
40,    10,   0.3282312000,   0.2716793131,   0.0403929344,   0.0332489525
40,  10.5,   0.3126011429,   0.2554065559,   0.0414997162,   0.0327848707
40,    11,   0.2983920000,   0.2405192428,   0.0425556705,   0.0324070868
40,  11.5,   0.2854184348,   0.2268279457,   0.0435949449,   0.0320855442
40,    12,   0.2735260000,   0.2141733564,   0.0446385114,   0.0318041322
40,  12.5,   0.2625849600,   0.2024198968,   0.0457020007,   0.0315530625
40,    13,   0.2524855385,   0.1914506768,   0.0467989814,   0.0313258802
40,  13.5,   0.2431342222,   0.1811633891,   0.0479427585,   0.0311180747
40,    14,   0.2344508571,   0.1714668130,   0.0491476908,   0.0309263533
40,  14.5,   0.2263663448,   0.1622776270,   0.0504304875,   0.0307482303
40,    15,   0.2188208000,   0.1535171907,   0.0518118322,   0.0305817771
40,  15.5,   0.2117620645,   0.1451078183,   0.0533187822,   0.0304254640
40,    16,   0.2051445000,   0.1369676966,   0.0549887485,   0.0302780549
40,  16.5,   0.1989280000,   0.1290026595,   0.0568768055,   0.0301385350
40,    17,   0.1930771765,   0.1210903770,   0.0590707383,   0.0300060612
40,  17.5,   0.1875606857,   0.1130474829,   0.0617216090,   0.0298815938
40,    18,   0.1823506667,   0.1044986704,   0.0651824894,   0.0297595068
40,  18.5,   0.1774222703,   0.0943574788,   0.0705108513,   0.0296439401
40,    19,   0.1727532632,   0.0295338632
