         Name: <Bhageria, Yadu>
          CID: <00733164>
   LIBRARY NO: <0246618471>
Email Address: <yrb13@ic.ac.uk>
  Course Code: <M3SC>
         Time: 18:34:58 
         Date: Feb 19 2016 
 
 T,     P,   V_ideal, V that satisfy the Van Der Waals cubic equation
40,     1,   3.28231,   3.23373
40,   1.5,   2.18821,   2.13930
40,     2,   1.64116,   1.59191
40,   2.5,   1.31292,   1.26333
40,     3,   1.09410,   1.04415
40,   3.5,   0.93780,   0.88748
40,     4,   0.82058,   0.76988
40,   4.5,   0.72940,   0.67831
40,     5,   0.65646,   0.60496
40,   5.5,   0.59678,   0.54486
40,     6,   0.54705,   0.49470
40,   6.5,   0.50497,   0.45216
40,     7,   0.46890,   0.41563
40,   7.5,   0.43764,   0.38388
40,     8,   0.41029,   0.35602
40,   8.5,   0.38615,   0.33135
40,     9,   0.36470,   0.30934,   0.03752,   0.03493
40,   9.5,   0.34551,   0.28957,   0.03916,   0.03387
40,    10,   0.32823,   0.27168,   0.04039,   0.03325
40,  10.5,   0.31260,   0.25541,   0.04150,   0.03278
40,    11,   0.29839,   0.24052,   0.04256,   0.03241
40,  11.5,   0.28542,   0.22683,   0.04359,   0.03209
40,    12,   0.27353,   0.21417,   0.04464,   0.03180
40,  12.5,   0.26258,   0.20242,   0.04570,   0.03155
40,    13,   0.25249,   0.19145,   0.04680,   0.03133
40,  13.5,   0.24313,   0.18116,   0.04794,   0.03112
40,    14,   0.23445,   0.17147,   0.04915,   0.03093
40,  14.5,   0.22637,   0.16228,   0.05043,   0.03075
40,    15,   0.21882,   0.15352,   0.05181,   0.03058
40,  15.5,   0.21176,   0.14511,   0.05332,   0.03043
40,    16,   0.20514,   0.13697,   0.05499,   0.03028
40,  16.5,   0.19893,   0.12900,   0.05688,   0.03014
40,    17,   0.19308,   0.12109,   0.05907,   0.03001
40,  17.5,   0.18756,   0.11304,   0.06173,   0.02988
40,    18,   0.18235,   0.10450,   0.06518,   0.02976
40,  18.5,   0.17742,   0.09436,   0.07051,   0.02964
40,    19,   0.17275,   0.02953
40,  19.5,   0.16832,   0.02943
40,    20,   0.16412,   0.02933
40,  20.5,   0.16011,   0.02923
40,    21,   0.15630,   0.02913
40,  21.5,   0.15267,   0.02904
40,    22,   0.14920,   0.02895
40,  22.5,   0.14588,   0.02887
40,    23,   0.14271,   0.02878
40,  23.5,   0.13967,   0.02870
40,    24,   0.13676,   0.02862
