         Name: Bhageria, Yadu
          CID: 00733164
  Course Code: 00733164, M3SC
Email Address: yrb13@ic.ac.uk
         Time: 15:38:33 
         Date: Mar  8 2016 
 
  j,   Re(z1),    Im(z1),    Re(z2),    Im(z2),    Re(z3),    Im(z3),    Re(z4),    Im(z4)
  0,  0.000000,  0.000000,  3.000000, -0.000000, -0.000000,  3.000000,  0.000000, -3.000000
  1,  0.000386, -0.019635,  0.022318,  2.965296, -0.026840, -3.033813,  2.994913, -0.068404
  2,  0.001543, -0.039270,  0.040371,  2.930265, -0.058355, -3.066076,  2.979900, -0.134933
  3,  0.003473, -0.058905,  0.054481,  2.895370, -0.094565, -3.096060,  2.955677, -0.197871
  4,  0.006180, -0.078540,  0.065005,  2.860970, -0.135325, -3.123003,  2.923335, -0.255796
  5,  0.009666, -0.098174,  0.072311,  2.827331, -0.180311, -3.146158,  2.884215, -0.307663
  6,  0.013936, -0.117807,  0.076757,  2.794640, -0.229027, -3.164847,  2.839770, -0.352836
  7,  0.018996, -0.137440,  0.078683,  2.763016, -0.280825, -3.178510,  2.791436, -0.391060
  8, -0.334946, -3.186744,  0.078397,  2.732525,  0.024852, -0.157070,  2.740532, -0.422409
  9, -0.390569, -3.189329,  0.076179,  2.703195,  0.031512, -0.176697,  2.688200, -0.447199
 10, -0.446865, -3.186229,  0.072276,  2.675021,  0.038983, -0.196321,  2.635369, -0.465913
 11, -0.503044, -3.177581,  0.066906,  2.647981,  0.047275, -0.215938,  2.582764, -0.479125
 12, -0.558394, -3.163666,  0.060257,  2.622034,  0.056397, -0.235548,  2.530915, -0.487440
 13, -0.612307, -3.144878,  0.052495,  2.597133,  0.066359, -0.255149,  2.480188, -0.491453
 14, -0.664287, -3.121689,  0.043760,  2.573225,  0.077170, -0.274738,  2.430816, -0.491723
 15, -0.713960, -3.094616,  0.034175,  2.550252,  0.088840, -0.294313,  2.382930, -0.488754
 16, -0.761058, -3.064192,  0.023844,  2.528160,  0.101379, -0.313871,  2.336581, -0.482994
 17, -0.805417, -3.030944,  0.012859,  2.506890,  0.114795, -0.333411,  2.291766, -0.474828
 18, -0.846957, -2.995379,  0.001297,  2.486390,  0.129097, -0.352928,  2.248444, -0.464586
 19, -0.885666, -2.957969, -0.010775,  2.466608,  0.144290, -0.372423,  2.206548, -0.452545
 20, -0.921590, -2.919146, -0.023299,  2.447495,  0.160379, -0.391892,  2.165997, -0.438935
 21, -0.954814, -2.879303, -0.036225,  2.429004,  0.177364, -0.411335,  2.126703, -0.423945
 22, -0.985455, -2.838789, -0.049511,  2.411092,  0.195243, -0.430754,  2.088574, -0.407728
 23, -1.013646, -2.797911, -0.063118,  2.393721,  0.214008, -0.450150,  2.051523, -0.390405
 24, -1.039536, -2.756938, -0.077015,  2.376853,  0.233648, -0.469529,  2.015466, -0.372069
 25, -1.063275, -2.716106, -0.091173,  2.360453,  0.254142, -0.488897,  1.980329, -0.352792
 26, -1.085014, -2.675616, -0.105568,  2.344491,  0.275463, -0.508265,  1.946045, -0.332622
 27, -1.104899, -2.635642, -0.120177,  2.328939,  0.297571, -0.527646,  1.912559, -0.311593
 28, -1.123069, -2.596332, -0.134982,  2.313768,  0.320419, -0.547056,  1.879832, -0.289721
 29, -1.139654, -2.557812, -0.149967,  2.298957,  0.343942, -0.566516,  1.847837, -0.267014
 30, -1.154773, -2.520185, -0.165116,  2.284482,  0.368061, -0.586045,  1.816564, -0.243468
 31, -1.168534, -2.483540, -0.180417,  2.270325,  0.392681, -0.605665,  1.786025, -0.219076
 32, -1.181036, -2.447948, -0.195858,  2.256467,  0.417686, -0.625391,  1.756247, -0.193833
 33, -1.192363, -2.413465, -0.211429,  2.242892,  0.442944, -0.645232,  1.727281, -0.167738
 34, -1.202592, -2.380134, -0.227120,  2.229586,  0.468305, -0.665185,  1.699194, -0.140802
 35, -1.211789, -2.347988, -0.242923,  2.216536,  0.493605, -0.685224,  1.672069, -0.113058
 36, -1.220012, -2.317047, -0.258831,  2.203730,  0.518674, -0.705304,  1.645998, -0.084560
